"","x"
"421",8
"422",8
"423",8
"424",8
"425",8
"426",8
"427",8
"428",8
"429",8
"430",8
"431",8
"432",8
"433",8
"434",8
"435",8
"436",8
"437",8
"438",8
"439",8
"440",8
"441",8
"442",8
"443",8
"444",8
"445",7
"446",7
"447",7
"448",7
"449",7
"450",7
"451",7
"452",7
"453",7
"454",7
"455",7
"456",7
"457",7
"458",7
"459",7
"460",7
"461",7
"462",7
"463",7
"464",7
"465",7
"466",7
"467",7
"468",7
"469",7
"470",7
"471",7
"472",7
"473",7
"474",7
"475",7
"476",7
"477",7
"478",7
"479",7
"480",7
"481",7
"482",7
"483",7
"484",7
"485",7
"486",7
"487",5
"488",5
"489",5
"490",5
"491",5
"492",5
"493",5
"494",5
"495",5
"496",5
"497",5
"498",5
"499",5
"500",5
"501",5
"502",5
"503",5
"504",5
"505",5
"506",5
"507",5
"508",5
"509",6
"510",6
"511",6
"512",6
"513",6
"514",6
"515",6
"516",6
"517",6
"518",6
"519",6
"520",6
"521",6
"522",6
"523",6
"524",6
"525",6
"526",6
"527",6
"528",6
"529",6
"530",6
"531",6
"532",6
"533",6
"534",6
"535",6
"536",6
"537",6
"538",6
"539",6
"540",6
"541",6
"542",6
"543",6
"544",6
"545",6
"546",6
"547",6
"548",6
"549",6
"550",6
"551",6
"552",6
"553",4
"554",4
"555",4
"556",4
"557",4
"558",4
"559",4
"560",4
"561",4
"562",4
"563",4
"564",4
"565",4
"566",4
"567",4
"568",4
"569",4
"570",4
"571",4
"572",4
"573",4
"574",4
"575",4
"576",4
"577",4
